# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 14717171570
#
# Overhead|     Samples|Symbol                |Shared Object|IPC   [IPC Coverage]
 3.77%  | 55         |[.] 0x0000000061b398b0|game         |-      -
 1.24%  | 18         |[.] 0x00000000000a9d57|libc.so.6    |-      -
 1.03%  | 15         |[.] 0x0000000061b39a20|game         |-      -
 1.03%  | 15         |[.] 0x00000000000a9be3|libc.so.6    |-      -
 0.96%  | 14         |[.] 0x0000000061aff2c0|game         |-      -
 0.89%  | 13         |[.] cfree             |libc.so.6    |-      -
 0.69%  | 10         |[.] 0x0000000061ac9f90|game         |-      -
 0.69%  | 10         |[.] 0x00000000000a9bdd|libc.so.6    |-      -
 0.55%  | 8          |[.] 0x0000000060e47211|game         |-      -
 0.55%  | 8          |[.] 0x000000006193d800|game         |-      -
 0.55%  | 8          |[.] 0x0000000061a02510|game         |-      -
 0.48%  | 7          |[.] 0x000000000d620a90|game         |-      -
 0.48%  | 7          |[.] 0x0000000060e47428|game         |-      -
 0.48%  | 7          |[.] 0x00000000000a9d84|libc.so.6    |-      -
 0.48%  | 7          |[.] 0x00000000000ab250|libc.so.6    |-      -
 0.41%  | 6          |[.] 0x000000000d5bf050|game         |-      -
 0.41%  | 6          |[.] 0x000000000d5bf120|game         |-      -
 0.41%  | 6          |[.] 0x0000000061ae1190|game         |-      -
 0.41%  | 6          |[.] 0x0000000061ae5570|game         |-      -
 0.41%  | 6          |[.] 0x0000000061ae621f|game         |-      -
 0.41%  | 6          |[.] 0x00000000000ab30a|libc.so.6    |-      -
 0.34%  | 5          |[.] 0x000000000d5b3aef|game         |-      -
 0.34%  | 5          |[.] 0x000000000d5befc0|game         |-      -
 0.34%  | 5          |[.] 0x000000000d5bf090|game         |-      -
 0.34%  | 5          |[.] 0x000000000d5bf0d0|game         |-      -
 0.34%  | 5          |[.] 0x0000000060d62080|game         |-      -
 0.34%  | 5          |[.] 0x0000000061a01aa0|game         |-      -
 0.34%  | 5          |[.] 0x0000000061aa02d0|game         |-      -
 0.34%  | 5          |[.] 0x0000000061b39620|game         |-      -
 0.34%  | 5          |[.] 0x0000000061b39940|game         |-      -
 0.34%  | 5          |[.] 0x0000000061b3d250|game         |-      -
 0.34%  | 5          |[.] 0x00000000000a9cec|libc.so.6    |-      -
 0.27%  | 4          |[.] 0x000000000d57ba90|game         |-      -
 0.27%  | 4          |[.] 0x000000000d5a972f|game         |-      -
 0.27%  | 4          |[.] 0x0000000061a01a80|game         |-      -
 0.27%  | 4          |[.] 0x0000000061ae1100|game         |-      -
 0.27%  | 4          |[.] 0x0000000061ae1440|game         |-      -
 0.27%  | 4          |[.] 0x00000000000a9dba|libc.so.6    |-      -
 0.27%  | 4          |[.] 0x00000000000a9dce|libc.so.6    |-      -
 0.27%  | 4          |[.] 0x00000000000a9e0b|libc.so.6    |-      -
 0.21%  | 3          |[.] 0x0000000000000bb2|[vdso]       |-      -
 0.21%  | 3          |[.] 0x000000000d5a6930|game         |-      -
 0.21%  | 3          |[.] 0x000000000d5a9710|game         |-      -
 0.21%  | 3          |[.] 0x000000000d5bf000|game         |-      -
 0.21%  | 3          |[.] 0x000000000d5bf01d|game         |-      -
 0.21%  | 3          |[.] 0x000000000d5bf029|game         |-      -
 0.21%  | 3          |[.] 0x0000000060d620cf|game         |-      -
 0.21%  | 3          |[.] 0x0000000060e47000|game         |-      -
 0.21%  | 3          |[.] 0x0000000060e51270|game         |-      -
 0.21%  | 3          |[.] 0x000000006193da32|game         |-      -
 0.21%  | 3          |[.] 0x000000006196b140|game         |-      -
 0.21%  | 3          |[.] 0x0000000061a01857|game         |-      -
 0.21%  | 3          |[.] 0x0000000061a01a50|game         |-      -
 0.21%  | 3          |[.] 0x0000000061a01a70|game         |-      -
 0.21%  | 3          |[.] 0x0000000061ac816f|game         |-      -
 0.21%  | 3          |[.] 0x0000000061ac8179|game         |-      -
 0.21%  | 3          |[.] 0x0000000061ae13e0|game         |-      -
 0.21%  | 3          |[.] 0x0000000061ae3b25|game         |-      -
 0.21%  | 3          |[.] 0x0000000061b39670|game         |-      -
 0.21%  | 3          |[.] 0x00000000000a9bc9|libc.so.6    |-      -
 0.21%  | 3          |[.] 0x00000000000a9d9e|libc.so.6    |-      -
 0.21%  | 3          |[.] 0x00000000000a9df0|libc.so.6    |-      -
 0.21%  | 3          |[.] 0x00000000000aabe0|libc.so.6    |-      -
 0.14%  | 2          |[.] 0x000000000d57baa8|game         |-      -
 0.14%  | 2          |[.] 0x000000000d5a6411|game         |-      -
 0.14%  | 2          |[.] 0x000000000d5a693d|game         |-      -
 0.14%  | 2          |[.] 0x000000000d5a9a54|game         |-      -
 0.14%  | 2          |[.] 0x000000000d5adf89|game         |-      -
 0.14%  | 2          |[.] 0x000000000d5adffd|game         |-      -
